run_id,paired_group,campaign,data_origin,kem_level,variant,model,target_prr,mean_bad_burst,forced_loss,seed,forced_loss_validation,forced_loss_application,precondition_not_reached,targeted_test_reached,raw_log_path,raw_log_sha256,log_size_bytes,log_line_count,parse_status,run_success,result_class
A-kem512-gilbert-prr0p50-L10-rep13-seed200013-v2,A-kem512-gilbert-prr0p50-L10-rep13-seed200013,A_B1_VS_B2,COOJA_SIMULATION,512,2,gilbert,0.5,10.0,none,200013,valid,none,,,runs/A-kem512-gilbert-prr0p50-L10-rep13-seed200013-v2/cooja.log,2b666418080e74c44c645d7d7ce0867e5bdcf631d8e7d4809d093aaa61bd558a,8700,83,success,0,FAILED_PROTOCOL
A-kem512-gilbert-prr0p50-L10-rep14-seed200014-v1,A-kem512-gilbert-prr0p50-L10-rep14-seed200014,A_B1_VS_B2,COOJA_SIMULATION,512,1,gilbert,0.5,10.0,none,200014,valid,none,,,runs/A-kem512-gilbert-prr0p50-L10-rep14-seed200014-v1/cooja.log,22b7c75cf75d01971f208d222059fc4d87299defc72a840aa3e75deda8b9d93c,8392,80,success,0,FAILED_PROTOCOL
A-kem512-gilbert-prr0p50-L10-rep14-seed200014-v2,A-kem512-gilbert-prr0p50-L10-rep14-seed200014,A_B1_VS_B2,COOJA_SIMULATION,512,2,gilbert,0.5,10.0,none,200014,valid,none,,,runs/A-kem512-gilbert-prr0p50-L10-rep14-seed200014-v2/cooja.log,ba4bc6d4dc3711ac50fbe8eaafb25be10ebac6aea61d4465b0f619e4f6c6f22c,8626,82,success,0,FAILED_PROTOCOL
A-kem512-gilbert-prr0p50-L10-rep15-seed200015-v1,A-kem512-gilbert-prr0p50-L10-rep15-seed200015,A_B1_VS_B2,COOJA_SIMULATION,512,1,gilbert,0.5,10.0,none,200015,valid,none,,,runs/A-kem512-gilbert-prr0p50-L10-rep15-seed200015-v1/cooja.log,e2a054096fcb65d770ca96339808b3cc2a33784c03df8b63f372e4da9b822ae5,13654,140,success,0,FAILED_PROTOCOL
A-kem512-gilbert-prr0p50-L10-rep15-seed200015-v2,A-kem512-gilbert-prr0p50-L10-rep15-seed200015,A_B1_VS_B2,COOJA_SIMULATION,512,2,gilbert,0.5,10.0,none,200015,valid,none,,,runs/A-kem512-gilbert-prr0p50-L10-rep15-seed200015-v2/cooja.log,ac1c1f5994c03f4fbf1fc5fb00befba95b5df8deac84af59f7ee62469166baf0,13888,142,success,0,FAILED_PROTOCOL
A-kem512-gilbert-prr0p50-L10-rep16-seed200016-v1,A-kem512-gilbert-prr0p50-L10-rep16-seed200016,A_B1_VS_B2,COOJA_SIMULATION,512,1,gilbert,0.5,10.0,none,200016,valid,none,,,runs/A-kem512-gilbert-prr0p50-L10-rep16-seed200016-v1/cooja.log,191355696bbcbd9ff434663f2b3a455508ff3751399833dd192be29990049348,8399,80,success,0,FAILED_PROTOCOL
A-kem512-gilbert-prr0p50-L10-rep16-seed200016-v2,A-kem512-gilbert-prr0p50-L10-rep16-seed200016,A_B1_VS_B2,COOJA_SIMULATION,512,2,gilbert,0.5,10.0,none,200016,valid,none,,,runs/A-kem512-gilbert-prr0p50-L10-rep16-seed200016-v2/cooja.log,a1aee062cc04be7d216974974a754a8a0ebf227dbfc6916a027995e8e5db848c,8633,82,success,0,FAILED_PROTOCOL
A-kem512-gilbert-prr0p50-L10-rep17-seed200017-v1,A-kem512-gilbert-prr0p50-L10-rep17-seed200017,A_B1_VS_B2,COOJA_SIMULATION,512,1,gilbert,0.5,10.0,none,200017,valid,none,,,runs/A-kem512-gilbert-prr0p50-L10-rep17-seed200017-v1/cooja.log,8fc6b86e40a72ee2663039d472c2797eee5968c4190a445141f2ec1fa3e66163,11590,117,success,0,FAILED_PROTOCOL
A-kem512-gilbert-prr0p50-L10-rep17-seed200017-v2,A-kem512-gilbert-prr0p50-L10-rep17-seed200017,A_B1_VS_B2,COOJA_SIMULATION,512,2,gilbert,0.5,10.0,none,200017,valid,none,,,runs/A-kem512-gilbert-prr0p50-L10-rep17-seed200017-v2/cooja.log,af84b59eda8464fb4a03618ac06ca6d26955199a4550a87c6d80090c1000e929,11824,119,success,0,FAILED_PROTOCOL
A-kem512-gilbert-prr0p50-L10-rep18-seed200018-v1,A-kem512-gilbert-prr0p50-L10-rep18-seed200018,A_B1_VS_B2,COOJA_SIMULATION,512,1,gilbert,0.5,10.0,none,200018,valid,none,,,runs/A-kem512-gilbert-prr0p50-L10-rep18-seed200018-v1/cooja.log,1fe8491963f0132ecac04aac7ab8a3504dab139d5dbf3d085900ae35de6e62f0,8999,87,success,0,FAILED_PROTOCOL
