run_id,paired_group,pair_group_id,comparison_arm,campaign,model,variant,variant_name,kem_level,target_prr,mean_bad_burst,p_gb,p_bg,forced_loss,forced_loss_mode,forced_loss_layer,forced_loss_after_radio_channel,forced_loss_source_id,forced_loss_destination_id,forced_loss_target_tag,forced_loss_last_sequence,rfrag_fragment_size,seed,repetition,timeout_s,mac_max_retries,max_application_retries,data_origin
A-kem512-fixed-prr1p00-rep17-seed200017-v1,A-kem512-fixed-prr1p00-rep17-seed200017,A-kem512-fixed-prr1p00-rep17-seed200017,B1,A_B1_VS_B2,fixed,1,B1_RFC4944_NO_RECOVERY,512,1.0,,,,none,0,none,0,2,1,0,8,96,200017,17,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr1p00-rep17-seed200017-v2,A-kem512-fixed-prr1p00-rep17-seed200017,A-kem512-fixed-prr1p00-rep17-seed200017,B2,A_B1_VS_B2,fixed,2,B2_RFRAG_FINAL_ACK,512,1.0,,,,none,0,none,0,2,1,0,8,96,200017,17,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr1p00-rep18-seed200018-v1,A-kem512-fixed-prr1p00-rep18-seed200018,A-kem512-fixed-prr1p00-rep18-seed200018,B1,A_B1_VS_B2,fixed,1,B1_RFC4944_NO_RECOVERY,512,1.0,,,,none,0,none,0,2,1,0,8,96,200018,18,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr1p00-rep18-seed200018-v2,A-kem512-fixed-prr1p00-rep18-seed200018,A-kem512-fixed-prr1p00-rep18-seed200018,B2,A_B1_VS_B2,fixed,2,B2_RFRAG_FINAL_ACK,512,1.0,,,,none,0,none,0,2,1,0,8,96,200018,18,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr1p00-rep19-seed200019-v1,A-kem512-fixed-prr1p00-rep19-seed200019,A-kem512-fixed-prr1p00-rep19-seed200019,B1,A_B1_VS_B2,fixed,1,B1_RFC4944_NO_RECOVERY,512,1.0,,,,none,0,none,0,2,1,0,8,96,200019,19,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr1p00-rep19-seed200019-v2,A-kem512-fixed-prr1p00-rep19-seed200019,A-kem512-fixed-prr1p00-rep19-seed200019,B2,A_B1_VS_B2,fixed,2,B2_RFRAG_FINAL_ACK,512,1.0,,,,none,0,none,0,2,1,0,8,96,200019,19,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr1p00-rep20-seed200020-v1,A-kem512-fixed-prr1p00-rep20-seed200020,A-kem512-fixed-prr1p00-rep20-seed200020,B1,A_B1_VS_B2,fixed,1,B1_RFC4944_NO_RECOVERY,512,1.0,,,,none,0,none,0,2,1,0,8,96,200020,20,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr1p00-rep20-seed200020-v2,A-kem512-fixed-prr1p00-rep20-seed200020,A-kem512-fixed-prr1p00-rep20-seed200020,B2,A_B1_VS_B2,fixed,2,B2_RFRAG_FINAL_ACK,512,1.0,,,,none,0,none,0,2,1,0,8,96,200020,20,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr1p00-rep21-seed200021-v1,A-kem512-fixed-prr1p00-rep21-seed200021,A-kem512-fixed-prr1p00-rep21-seed200021,B1,A_B1_VS_B2,fixed,1,B1_RFC4944_NO_RECOVERY,512,1.0,,,,none,0,none,0,2,1,0,8,96,200021,21,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr1p00-rep21-seed200021-v2,A-kem512-fixed-prr1p00-rep21-seed200021,A-kem512-fixed-prr1p00-rep21-seed200021,B2,A_B1_VS_B2,fixed,2,B2_RFRAG_FINAL_ACK,512,1.0,,,,none,0,none,0,2,1,0,8,96,200021,21,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr1p00-rep22-seed200022-v1,A-kem512-fixed-prr1p00-rep22-seed200022,A-kem512-fixed-prr1p00-rep22-seed200022,B1,A_B1_VS_B2,fixed,1,B1_RFC4944_NO_RECOVERY,512,1.0,,,,none,0,none,0,2,1,0,8,96,200022,22,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr1p00-rep22-seed200022-v2,A-kem512-fixed-prr1p00-rep22-seed200022,A-kem512-fixed-prr1p00-rep22-seed200022,B2,A_B1_VS_B2,fixed,2,B2_RFRAG_FINAL_ACK,512,1.0,,,,none,0,none,0,2,1,0,8,96,200022,22,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr1p00-rep23-seed200023-v1,A-kem512-fixed-prr1p00-rep23-seed200023,A-kem512-fixed-prr1p00-rep23-seed200023,B1,A_B1_VS_B2,fixed,1,B1_RFC4944_NO_RECOVERY,512,1.0,,,,none,0,none,0,2,1,0,8,96,200023,23,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr1p00-rep23-seed200023-v2,A-kem512-fixed-prr1p00-rep23-seed200023,A-kem512-fixed-prr1p00-rep23-seed200023,B2,A_B1_VS_B2,fixed,2,B2_RFRAG_FINAL_ACK,512,1.0,,,,none,0,none,0,2,1,0,8,96,200023,23,240,0,0,COOJA_SIMULATION
