run_id,paired_group,campaign,data_origin,kem_level,variant,model,target_prr,mean_bad_burst,forced_loss,seed,forced_loss_validation,forced_loss_application,precondition_not_reached,targeted_test_reached,raw_log_path,raw_log_sha256,log_size_bytes,log_line_count,parse_status,run_success,result_class
A-kem512-fixed-prr0p50-rep15-seed200015-v1,A-kem512-fixed-prr0p50-rep15-seed200015,A_B1_VS_B2,COOJA_SIMULATION,512,1,fixed,0.5,,none,200015,valid,none,,,runs/A-kem512-fixed-prr0p50-rep15-seed200015-v1/cooja.log,3d911ba82992531ff4a29d2c6f6c3acd20db839ec42cb81f6b070b9950f4cc31,16189,166,success,0,FAILED_PROTOCOL
A-kem512-fixed-prr0p50-rep15-seed200015-v2,A-kem512-fixed-prr0p50-rep15-seed200015,A_B1_VS_B2,COOJA_SIMULATION,512,2,fixed,0.5,,none,200015,valid,none,,,runs/A-kem512-fixed-prr0p50-rep15-seed200015-v2/cooja.log,3ab1be47829fd9c0ee895d3484fff25fc1a6b9e925e75c0955aa1d2e26ef57cb,17642,177,success,1,SUCCESS
A-kem512-fixed-prr0p50-rep16-seed200016-v1,A-kem512-fixed-prr0p50-rep16-seed200016,A_B1_VS_B2,COOJA_SIMULATION,512,1,fixed,0.5,,none,200016,valid,none,,,runs/A-kem512-fixed-prr0p50-rep16-seed200016-v1/cooja.log,924fab88fbf7416e6d915bc3bb516b25f50ab49ebaa4899b3313f30fabb70c05,11273,114,success,0,FAILED_PROTOCOL
A-kem512-fixed-prr0p50-rep16-seed200016-v2,A-kem512-fixed-prr0p50-rep16-seed200016,A_B1_VS_B2,COOJA_SIMULATION,512,2,fixed,0.5,,none,200016,valid,none,,,runs/A-kem512-fixed-prr0p50-rep16-seed200016-v2/cooja.log,92e222c200b320e87526c81f97fb4f082860fea7b55a9626097542f9599a688e,11507,116,success,0,FAILED_PROTOCOL
A-kem512-fixed-prr0p50-rep17-seed200017-v1,A-kem512-fixed-prr0p50-rep17-seed200017,A_B1_VS_B2,COOJA_SIMULATION,512,1,fixed,0.5,,none,200017,valid,none,,,runs/A-kem512-fixed-prr0p50-rep17-seed200017-v1/cooja.log,2eb74a3fee92fd719f84d2253957a945080c8998e98062ed7c1ffe2df771e411,15398,157,success,0,FAILED_PROTOCOL
A-kem512-fixed-prr0p50-rep17-seed200017-v2,A-kem512-fixed-prr0p50-rep17-seed200017,A_B1_VS_B2,COOJA_SIMULATION,512,2,fixed,0.5,,none,200017,valid,none,,,runs/A-kem512-fixed-prr0p50-rep17-seed200017-v2/cooja.log,79b1c17b345d80fa0ad50f506f0bec645da8f3e34f7bf89be2310aecdb71af4c,17415,175,success,1,SUCCESS
A-kem512-fixed-prr0p50-rep18-seed200018-v1,A-kem512-fixed-prr0p50-rep18-seed200018,A_B1_VS_B2,COOJA_SIMULATION,512,1,fixed,0.5,,none,200018,valid,none,,,runs/A-kem512-fixed-prr0p50-rep18-seed200018-v1/cooja.log,d65021cf0a63d202c431d7aa7ac179113a6b90ac0291df00efa5cd5a4af57895,14463,150,success,0,FAILED_PROTOCOL
A-kem512-fixed-prr0p50-rep18-seed200018-v2,A-kem512-fixed-prr0p50-rep18-seed200018,A_B1_VS_B2,COOJA_SIMULATION,512,2,fixed,0.5,,none,200018,valid,none,,,runs/A-kem512-fixed-prr0p50-rep18-seed200018-v2/cooja.log,a6eeaf2044a2a51b5d5bc2a51a54e53395c583d721fd2768dabaa73fa6847423,14697,152,success,0,FAILED_PROTOCOL
A-kem512-fixed-prr0p50-rep19-seed200019-v1,A-kem512-fixed-prr0p50-rep19-seed200019,A_B1_VS_B2,COOJA_SIMULATION,512,1,fixed,0.5,,none,200019,valid,none,,,runs/A-kem512-fixed-prr0p50-rep19-seed200019-v1/cooja.log,addaa1dd8e8a2ca1b8ca268d94e51ce10853ca6876fa113ed4708ee920fbd398,14655,149,success,0,FAILED_PROTOCOL
A-kem512-fixed-prr0p50-rep19-seed200019-v2,A-kem512-fixed-prr0p50-rep19-seed200019,A_B1_VS_B2,COOJA_SIMULATION,512,2,fixed,0.5,,none,200019,valid,none,,,runs/A-kem512-fixed-prr0p50-rep19-seed200019-v2/cooja.log,2d59caca62cfcc6181877ba58e35f4c880f4c52e3a1975ebd64755ca5223b81a,16927,170,success,1,SUCCESS
A-kem512-fixed-prr0p50-rep20-seed200020-v1,A-kem512-fixed-prr0p50-rep20-seed200020,A_B1_VS_B2,COOJA_SIMULATION,512,1,fixed,0.5,,none,200020,valid,none,,,runs/A-kem512-fixed-prr0p50-rep20-seed200020-v1/cooja.log,dbd836f6597512ad546f6b7e6b7b17bd04010083cf67b7b42f55064c0bcb9778,12592,125,success,0,FAILED_PROTOCOL
A-kem512-fixed-prr0p50-rep20-seed200020-v2,A-kem512-fixed-prr0p50-rep20-seed200020,A_B1_VS_B2,COOJA_SIMULATION,512,2,fixed,0.5,,none,200020,valid,none,,,runs/A-kem512-fixed-prr0p50-rep20-seed200020-v2/cooja.log,0e24681592ef0d710ee2759e6fb71250edc5529f57f0d99b1c07630901519cf0,12819,130,success,0,FAILED_PROTOCOL
A-kem512-fixed-prr0p50-rep21-seed200021-v1,A-kem512-fixed-prr0p50-rep21-seed200021,A_B1_VS_B2,COOJA_SIMULATION,512,1,fixed,0.5,,none,200021,valid,none,,,runs/A-kem512-fixed-prr0p50-rep21-seed200021-v1/cooja.log,2ab7b58de325eb7b3fff52c0a7614d207f2a0f73cb8414ab402b7702420a89e8,10195,102,success,0,FAILED_PROTOCOL
